iter	Passed	Remaining
714	11138	4439
715	11153	4423
716	11168	4408
717	11180	4391
718	11191	4374
719	11205	4357
720	11218	4341
721	11229	4323
722	11243	4307
723	11258	4291
724	11275	4276
725	11296	4263
726	11309	4246
727	11329	4233
728	11344	4217
729	11358	4201
730	11374	4185
731	11388	4169
732	11402	4153
733	11416	4137
734	11432	4122
735	11447	4106
736	11462	4090
737	11477	4074
738	11490	4058
739	11503	4041
740	11518	4026
741	11535	4011
742	11553	3996
743	11570	3981
744	11590	3967
745	11611	3953
746	11629	3938
747	11647	3924
748	11664	3909
749	11684	3894
750	11701	3879
751	11717	3864
752	11735	3849
753	11750	3833
754	11766	3818
755	11781	3802
756	11795	3786
757	11809	3770
758	11825	3754
759	11839	3738
760	11853	3722
761	11874	3708
762	11890	3693
763	11910	3679
764	11930	3664
765	11949	3650
766	11966	3635
767	11985	3620
768	12005	3606
769	12021	3590
770	12039	3575
771	12055	3560
772	12071	3545
773	12087	3529
774	12101	3513
775	12115	3497
776	12136	3483
777	12155	3468
778	12169	3452
779	12184	3436
780	12198	3420
781	12210	3404
782	12225	3388
783	12239	3372
784	12251	3355
785	12266	3339
786	12281	3323
787	12292	3307
788	12305	3290
789	12319	3274
790	12333	3258
791	12346	3242
792	12357	3225
793	12371	3209
794	12386	3193
795	12400	3177
796	12414	3162
797	12427	3145
798	12439	3129
799	12454	3113
800	12468	3097
801	12483	3081
802	12497	3065
803	12510	3049
804	12522	3033
805	12538	3017
806	12551	3001
807	12563	2985
808	12575	2969
809	12586	2952
810	12599	2936
811	12612	2920
812	12624	2903
813	12636	2887
814	12649	2871
815	12662	2855
816	12676	2839
817	12688	2823
818	12702	2807
819	12716	2791
820	12729	2775
821	12743	2759
822	12756	2743
823	12766	2726
824	12780	2711
825	12797	2695
826	12811	2679
827	12826	2664
828	12838	2648
829	12850	2632
830	12865	2616
831	12879	2600
832	12893	2584
833	12909	2569
834	12923	2553
835	12939	2538
836	12953	2522
837	12964	2506
838	12978	2490
839	12991	2474
840	13006	2458
841	13020	2443
842	13033	2427
843	13045	2411
844	13061	2395
845	13076	2380
846	13089	2364
847	13104	2348
848	13120	2333
849	13139	2318
850	13160	2304
851	13177	2289
852	13193	2273
853	13209	2258
854	13222	2242
855	13237	2226
856	13252	2211
857	13265	2195
858	13276	2179
859	13289	2163
860	13303	2147
861	13316	2131
862	13331	2116
863	13345	2100
864	13357	2084
865	13370	2068
866	13384	2053
867	13398	2037
868	13411	2021
869	13423	2005
870	13437	1990
871	13451	1974
872	13468	1959
873	13483	1943
874	13497	1928
875	13511	1912
876	13523	1896
877	13539	1881
878	13552	1865
879	13565	1849
880	13578	1834
881	13590	1818
882	13603	1802
883	13620	1787
884	13636	1771
885	13650	1756
886	13665	1740
887	13681	1725
888	13699	1710
889	13717	1695
890	13745	1681
891	13767	1666
892	13784	1651
893	13800	1636
894	13816	1620
895	13834	1605
896	13856	1591
897	13874	1575
898	13888	1560
899	13900	1544
900	13932	1530
901	13954	1516
902	13971	1500
903	13985	1485
904	13997	1469
905	14013	1453
906	14028	1438
907	14043	1422
908	14058	1407
909	14072	1391
910	14084	1376
911	14095	1360
912	14110	1344
913	14129	1329
914	14144	1313
915	14157	1298
916	14172	1282
917	14186	1267
918	14199	1251
919	14211	1235
920	14227	1220
921	14242	1204
922	14257	1189
923	14273	1173
924	14286	1158
925	14300	1142
926	14315	1127
927	14331	1111
928	14349	1096
929	14363	1081
930	14376	1065
931	14391	1050
932	14405	1034
933	14420	1018
934	14434	1003
935	14451	988
936	14468	972
937	14484	957
938	14500	941
939	14517	926
940	14535	911
941	14550	895
942	14565	880
943	14582	865
944	14598	849
945	14614	834
946	14630	818
947	14645	803
948	14658	787
949	14671	772
950	14683	756
951	14696	740
952	14708	725
953	14724	709
954	14736	694
955	14749	678
956	14762	663
957	14777	647
958	14793	632
959	14807	616
960	14818	601
961	14833	585
962	14849	570
963	14865	555
964	14880	539
965	14895	524
966	14910	508
967	14927	493
968	14940	477
969	14952	462
970	14966	446
971	14982	431
972	14998	416
973	15013	400
974	15027	385
975	15043	369
976	15058	354
977	15075	339
978	15091	323
979	15106	308
980	15121	292
981	15134	277
982	15146	261
983	15161	246
984	15178	231
985	15193	215
986	15207	200
987	15223	184
988	15242	169
989	15257	154
990	15273	138
991	15286	123
992	15298	107
993	15310	92
994	15326	77
995	15340	61
996	15354	46
997	15370	30
998	15385	15
999	15399	0
